2024,Renato Antunes,1178,FES-PE,4217,ELDT,ELDT,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"Realizar projeto de melhoria a atenção integral à saúde da população do Recife, através do Centro de Capacitação e Formação Pública, inscrito sob o CNPJ: 11.691.937/0001-77",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"300.000,00","299.617,39",-,-,-,-,-,-,,2611606,30
2024,Renato Antunes,1179,SAS,2951,ELDU,ELDU,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"Formentar políticas públicas sobre drogas, com foco nos grupos mais vulneráveis, visando a prevenção, através da qualificação profissional, a ser executado pelo Instituto Criação, inscrito sob o CNPJ: 38.144.672/0001-43.",DIREITOS DA CIDADANIA,QUALIFICAÇÃO PROFISSIONAL,-,-,-,-,-,"300.000,00",-,-,-,-,-,-,-,,2611606,30
2024,Renato Antunes,1180,FES-PE,4217,ELDV,ELDV,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,JABOATAO DOS GUARARAPES,"Realizar projeto de melhoria a atenção integral à saúde da população do Recife, através do Centro de Capacitação e FormaçãoPública, inscrito sob o CNPJ: 11.691.937/0001-77",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"300.000,00","299.045,00",-,-,-,-,-,"299.045,00",,2607901,30
2024,Renato Antunes,1181,FES-PE,4217,ELDW,ELDW,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,OLINDA,"Realizar projeto de melhoria a atenção integral a saúde da população através do Centro de Assistência Social Sandra Moraes, inscrito no CNPJ: 14.879.742/0001-43",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"200.000,00",-,-,-,-,-,-,-,,2609600,30
2024,Renato Antunes,1182,SDS,4223,ELDX,ELDX,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"Realizar melhoria nas instalações das delegacias, através da Policia Civil de Pernambuco inscrita no CNPJ: 10.572.063/0001-76",SEGURANÇA PÚBLICA,MELHORIA ESTRUTURA SEGURANÇA PÚBLICA,-,-,-,-,-,"100.000,00","99.286,32",-,-,-,-,-,-,,2611606,30
2024,Lula Cabral,1183,SEE,4148,ELDY,ELDY,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,CABO DE SANTO AGOSTINHO,"A referida Emenda, a Federação de JIU JITSU do Estado de Pernambuco, (CNPJ 00.184.869.0001.33), tem como objetivo a implementação do Programa Transformando Vidas Através do Esporte, possibilitando assim, a pratica esportiva em diversas áreas e localidades do município do Cabo de Santo Agostinho - PE.",DESPORTO E LAZER,APOIO AO ESPORTE E LAZER,-,-,-,-,-,"23.100,00",-,-,-,-,-,-,-,,2602902,I32
2024,Lula Cabral,1184,FES-PE,4553,ELDZ,ELDZ,EMENDA,INVESTIMENTOS,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,CABO DE SANTO AGOSTINHO,"A presente Emenda, em favor do município do Cabo de Santo Agostinho, (CNPJ 11.294.402.0001.62), tem o objetivo de melhorara saúde do referido município através de compra de 2 (duas) Ambulâncias e equipamentos de alta complexidade, para que assim possa atender melhor a população do cabo de santo agostinho.",SAÚDE,AQUISIÇÃO VEÍCULOS - SAÚDE,-,-,-,-,-,"1.000.000,00","1.000.000,00",-,-,-,-,-,"1.000.000,00",,2602902,I32
2024,Lula Cabral,1185,FES-PE,4553,ELE0,ELE0,EMENDA,INVESTIMENTOS,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,SAO LOURENCO DA MATA,"A presente Emenda, em favor da Prefeitura de São Lourenco da Mata (CNPJ 11.251.832.0001.05), tem como objetivo a aquisição de 02 (duas) ambulância Pick Up 4x4, com a finalidade de beneficiar a população do distrito rural de MATRIZ da LUZ e LAJES.",SAÚDE,AQUISIÇÃO VEÍCULOS - SAÚDE,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,"500.000,00",,2613701,I32
2024,Lula Cabral,1186,SEPLAG,4424,ELE1,ELE1,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,SAO LOURENCO DA MATA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,-,,2613701,I32
2024,Lula Cabral,1187,SEPLAG,4424,ELE2,ELE2,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,OROBO,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,-,,2609709,I32
2024,Lula Cabral,1189,MP,1132,ELE4,ELE4,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"A presente Emenda destinada ao Ministério Público de Pernambuco, será utilizada na implantação do complexo da nova Sede única do MPPE, em virtude das crescentes demandas sociais enfrentadas pelos órgãos",DIREITOS DA CIDADANIA,OBRAS OUTROS PODERES,-,-,-,-,-,"200.000,00",-,-,"200.000,00",-,-,-,-,,2611606,I32
2024,Lula Cabral,1194,SEE,4148,ELE9,ELE9,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,CABO DE SANTO AGOSTINHO,"A referida Emenda, a Federação de JIU JITSU do Estado de Pernambuco, (CNPJ 00.184.869.0001.33), tem como objetivo a implementação do Programa Transformando Vidas Através do Esporte, possibilitando assim, a pratica esportiva em diversas áreas e localidades do município do Cabo de Santo Agostinho - PE.",DESPORTO E LAZER,APOIO AO ESPORTE E LAZER,-,-,-,-,-,"200.000,00",-,-,-,-,-,-,-,,2602902,I32
2024,Lula Cabral,1195,SECMULHER,3930,ELEA,ELEA,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,CABO DE SANTO AGOSTINHO,"A emenda, ora apresentada tem como objetivo, inserir as mulheres como protagonistas do desenvolvimento econômico, através de apoio e capacitação nos cursos de iniciação profissional e empreendedorismo para as mulheres em situação de vulnerabilidade social, diversificando as suas habilidades técnicas, através da ASSOCIACAO MISSAO ADONAY - AMA (CNPJ 21.675.197.0001.39), no município do Cabo de Santo Agostinho.",DIREITOS DA CIDADANIA,APOIO À POLÍTICA DE GÊNERO,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,-,,2602902,I32
2024,Henrique Queiroz Filho,1201,FES-PE,4553,ELEG,ELEG,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,VITORIA DE SANTO ANTAO,"Emenda destinada a reforma e ampliação da enfermaria do Hospital João Murilo de Oliveira (HJMO), CNPJ: 10.583.920/0004-86. Localizado na cidade de Vitória de Santo Antão",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"233.050,00","233.050,00",-,-,-,-,-,-,,2616407,36
2024,Henrique Queiroz Filho,1202,FES-PE,4611,ELEH,ELEH,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,MORENO,"A Emenda se destina ao custeio de procedimentos de média e alta complexidade pelo Hospital Armindo Moura, através de repasse de recursos para União Beneficente dos Trabalhadores do Moreno - UBTM, inscrita no CNPJ n. 11.683.042/0001-90.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"80.000,00","80.000,00",-,-,-,-,-,-,,2609402,36
2024,Henrique Queiroz Filho,1204,FES-PE,4553,ELEJ,ELEJ,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"Emenda será destinada a aquisição de material permanete voltado para equipagem do Hospital da Restauração Governador Paulo Guerra, (HGR), CNPJ: 10.572.048/0002-09",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"100.000,00",-,-,-,-,-,-,-,,2611606,36
2024,João Paulo Costa,1206,FES-PE,4553,ELEL,ELEL,EMENDA,INVESTIMENTOS,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,RIBEIRAO,"Aquisição de ambulância para a melhoria do serviço de saúde municipal, da cidade de Ribeirão.",SAÚDE,AQUISIÇÃO VEÍCULOS - SAÚDE,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,"100.000,00",,2611804,42
2024,João Paulo Costa,1207,SEPLAG,4424,ELEM,ELEM,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,SANTA MARIA DA BOA VISTA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"400.000,00","400.000,00",-,-,-,-,-,-,,2612604,42
2024,João Paulo Costa,1211,FES-PE,4217,ELEQ,ELEQ,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,JABOATAO DOS GUARARAPES,"Ação de saúde na atenção básica no municipio de Jaboatão dos Guararapes, a ser executado pelo Centro de Formação Pública (CEFOP), inscrito sob o CNPJ: 11.691.937/0001-77.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"200.000,00","199.909,00",-,-,-,-,-,"199.909,00",,2607901,42
2024,William Brígido,1213,FES-PE,4611,ELES,ELES,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,JABOATAO DOS GUARARAPES,Emenda destinada para custear e para manter os procedimentos oftalmológicos para população através a ONG MOVIMENTO COMUNITÁRIO - MC PROJETO SAÚDE PARA TODOS. CNPJ:19.796.243/0001-06,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,-,,2607901,17
2024,João Paulo Costa,1214,FES-PE,4611,ELET,ELET,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,MORENO,"A presente emenda se destina ao custeio de procedimentos de média e alta complexidade pelo Hospital Armindo Moura, através de repasse de recursos para União Beneficente dos Trabalhadores do Moreno - UBTM, inscrita no CNPJ nº 11.683.042/0001-90.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"60.000,00","60.000,00",-,-,-,-,-,-,,2609402,42
2024,João Paulo Costa,1215,FES-PE,4611,ELEU,ELEU,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente emenda tem o objetivo de promover serviços de saúde ocular e reabilitação para pessoas com deficiências visual, auditiva, física e intelectual, usuários do Sistema Único de Saúde - SUS, através da Fundação Altino Ventura (CNPJ:10.667.814/0001-38).",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"50.000,00",-,-,-,-,-,-,-,,2611606,42
2024,João Paulo Costa,1216,FES-PE,4611,ELEV,ELEV,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"A presente emenda tem o objetivo de promover serviços de saúde para usuários do Sistema Único de Saúde - SUS, através do Instituto de Medicina Integral Professor Fernando Figueira - IMIP (CNPJ: 10.988.301/0001-29).",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"50.000,00","50.000,00",-,-,-,-,-,"50.000,00",,2611606,42
2024,João Paulo Costa,1219,SEE,1932,ELEY,ELEY,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,CAMOCIM DE SAO FELIX,"Executar projeto esportivo educacional como apoio didático, através do Instituto Criação no CNPJ sob o nº 38144672/0001-43.",EDUCAÇÃO,APOIO AO ESPORTE E LAZER,-,-,-,-,-,"300.000,00",-,-,-,-,-,-,-,,2603504,42
2024,João Paulo Costa,1220,FES-PE,4217,ELEZ,ELEZ,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,GRAVATA,"Ação de saúde na atenção básica no município de Gravatá, a ser executado pelo Centro de Formação Pública (CEFOP), inscrito sob o CNPJ:11.691.937/0001-77.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"300.000,00",-,-,-,-,-,-,-,,2606408,42
2024,João Paulo Costa,1221,FES-PE,4217,ELF0,ELF0,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,SAIRE,"Ação de saúde na atenção básica no município de Sairé, a ser executado pelo Instituto Pro Cidadão, inscrito sob o CNPJ: 36.880.564/0001-03.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"300.000,00",-,-,-,-,-,-,-,,2612000,42
2024,João Paulo Costa,1224,SEPLAG,4424,ELF3,ELF3,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,MOREILANDIA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"500.000,00","500.000,00",-,-,-,-,-,-,,2614303,42
2024,Kaio Maniçoba,1225,FES-PE,3126,ELF4,ELF4,EMENDA,CUSTEIO,90 - APLICAÇÕES DIRETAS,SALGUEIRO,Valor destinado ao Hospital Regional Inácio de Sá - Gerenciado pela Secretaria Estadual de Saúde,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"150.000,00","149.998,88",-,-,-,-,-,-,,2612208,32
2024,Kaio Maniçoba,1226,FES-PE,3126,ELF5,ELF5,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"Valor destinadoao Instituto do Fígado de Pernambuco, entidade filantrópica, inscrita no CNPJ n 07.421.280/0001-50",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"50.000,00","50.000,00",-,-,-,-,-,-,,2611606,32
2024,Kaio Maniçoba,1227,FES-PE,3126,ELF6,ELF6,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,SURUBIM,"Valor deverá ser destinado ao Hospital São Luiz, complexo hospitalar da Associação de Proteção a Maternidade e a Infância de Surubim (APAMI SURUBIM), entidade filantrópica sem fins lucrativos, CNPJ 11.754.025/0001-05.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,"100.000,00",,2614501,32
2024,Kaio Maniçoba,1229,FES-PE,4217,ELF8,ELF8,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"Execução de projeto de melhoria à Atenção Primária e das Políticas Estratégicas, da população do município de Recife, através do Instituto Criação, inscrito sob o CNPJ 38.144.672/0001-43.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"299.990,00","298.768,40",-,-,-,-,-,"298.768,40",,2611606,32
2024,Kaio Maniçoba,1230,FES-PE,3126,ELF9,ELF9,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"Valor destinado ao Hospital de Câncer de Pernambuco, para aquisição de medicamentos e farmacêuticos, a fim de abranger todos os municípios de Pernambuco, com atendimento cem por cento SUS. CNPJ 10.894.988/0001-33, CNES 0000582",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"50.000,00","50.000,00",-,-,-,-,-,"50.000,00",,2611606,32
2024,Kaio Maniçoba,1231,FES-PE,4611,ELFA,ELFA,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"Valor destinado à Fundação Altino Ventura, CNPJ nº 10.667.814-0001-38.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,"100.000,00",,2611606,32
2024,Kaio Maniçoba,1232,FES-PE,3126,ELFB,ELFB,EMENDA,CUSTEIO,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,JATAUBA,Valor destinado ao Fundo Municipal de Saúde,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"290.000,00","285.709,20",-,-,-,-,-,"285.709,20",,2608008,32
2024,Kaio Maniçoba,1233,FES-PE,3126,ELFC,ELFC,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,OURICURI,"Valor destinado ao Hospital Regional Fernando Bezerra, gerenciado por Organização Social de Saúde (OSS) - Instituto Social de Saúde Medianeiras da Paz, CNPJ 10.739.225/0018-66",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"150.000,00","150.000,00",-,-,-,-,-,-,,2609907,32
2024,Kaio Maniçoba,1234,FES-PE,4611,ELFD,ELFD,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,MORENO,"Valor destinado ao Hospital Armindo Moura (HAM), gerenciado pela União Beneficente dos Trabalhadores do Moreno (UBTM) CNPJ 11.683.042/0001-90.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"200.000,00","200.000,00",-,-,-,-,-,-,,2609402,32
2024,Kaio Maniçoba,1235,FES-PE,3126,ELFE,ELFE,EMENDA,CUSTEIO,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,ITACURUBA,Valor destinado ao Fundo Municipal de Saúde,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"300.000,00","300.000,00",-,-,-,-,-,"300.000,00",,2607406,32
2024,Kaio Maniçoba,1236,SEPLAG,4424,ELFF,ELFF,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,FLORESTA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"1.000.000,00","1.000.000,00",-,-,-,-,-,-,,2605707,32
2024,Kaio Maniçoba,1237,FES-PE,4217,ELFG,ELFG,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,IGARASSU,"Execução de projeto de melhoria à Atenção Primária e das Políticas Estratégicas, da população do município de Igarassu, através do Instituto CEFOP ( Centro de Capacitação e Formação Pública) , inscrito sob o CNPJ 11.691.937/0001-77.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"299.990,00","299.431,51",-,-,-,-,-,-,,2606804,32
2024,Kaio Maniçoba,1238,FES-PE,3126,ELFH,ELFH,EMENDA,CUSTEIO,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,FLORESTA,"Valor destinado ao Fundo Municipal de Saúde, de Floresta",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"66.120,00",-,-,-,-,-,-,-,,2605707,32
2024,Kaio Maniçoba,1239,SEPLAG,4424,ELFI,ELFI,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,TUPANATINGA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"300.000,00","300.000,00",-,-,-,-,-,-,,2615805,32
2024,Kaio Maniçoba,1240,SEPLAG,4424,ELFJ,ELFJ,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,EXU,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"200.000,00","200.000,00",-,-,-,-,-,-,,2605301,32
2024,Kaio Maniçoba,1241,FES-PE,3126,ELFK,ELFK,EMENDA,CUSTEIO,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,BREJO DA MADRE DE DEUS,Valor destinado ao Fundo Municipal de Saúde,SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"400.000,00",-,-,-,-,-,-,-,,2602605,32
2024,Kaio Maniçoba,1242,SEPLAG,4424,ELFL,ELFL,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,CARNAUBEIRA DA PENHA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"300.000,00","300.000,00",-,-,-,-,-,-,,2603926,32
2024,Kaio Maniçoba,1244,MP,1132,ELFN,ELFN,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"Valor destinado ao Ministério Público do Estado de Pernambuco, afim de estimular investimentos na implantação do complexo da nova Sede Única do Ministério Público de Pernambuco.",DIREITOS DA CIDADANIA,OBRAS OUTROS PODERES,-,-,-,-,-,"60.000,00","60.000,00",-,-,-,-,-,-,,2611606,32
2024,Kaio Maniçoba,1245,SDAAPP,3606,ELFO,ELFO,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"Valor destinado à Secretaria de Desenvolvimento Agrário, Agricultura, Pecuária e Pesca, para compra de kits de irrigação a serem distribuídos para agricultores do estado de Pernambuco",AGRICULTURA,ABASTECIMENTO DE ÁGUA,-,-,-,-,-,"150.000,00",-,-,-,-,-,-,-,,2611606,32
2024,Kaio Maniçoba,1246,SEPLAG,4424,ELFP,ELFP,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,ARCOVERDE,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"350.000,00","350.000,00",-,-,-,-,-,-,,2601201,32
2024,Kaio Maniçoba,1247,SDAAPP,3606,ELFQ,ELFQ,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"Valor destinado à Secretaria de Desenvolvimento Agrário, Agricultura, Pecuária e Pesca, para compra de máquinas forrageiras a serem distribuídas para agricultores do estado de Pernambuco",AGRICULTURA,AQUISIÇÃO VEÍCULO - AGRICULTURA,-,-,-,-,-,"150.000,00",-,-,-,-,-,-,-,,2611606,32
2024,Luciano Duque,1262,FES-PE,3126,ELG5,ELG5,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,RECIFE,"Aquisição de material de uso único (insumos gerais, insumos hospitalares e medicamentos) para o Hospital do Câncer de Pernambuco, inscrito no CNPJ: 10.894.988/0001-33.",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,"100.000,00",,2611606,15
2024,Luciano Duque,1263,FES-PE,4553,ELG6,ELG6,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,SERRA TALHADA,Aquisição de Ambulância para o Hospital Eduardo Campos inscrito no CNPJ: 10.583.920/0011-05.,SAÚDE,AQUISIÇÃO VEÍCULOS - SAÚDE,-,-,-,-,-,"135.000,00","127.489,00",-,-,-,-,-,-,,2613909,15
2024,Luciano Duque,1267,FES-PE,4553,ELGA,ELGA,EMENDA,INVESTIMENTOS,41 - TRANSF. A MUNICÍPIOS FUNDO A FUNDO,TRIUNFO,Aquisição de Ambulância,SAÚDE,AQUISIÇÃO VEÍCULOS - SAÚDE,-,-,-,-,-,"135.000,00","125.440,00",-,-,-,-,-,-,,2615706,15
2024,Luciano Duque,1271,FES-PE,4553,ELGE,ELGE,EMENDA,INVESTIMENTOS,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,SERRA TALHADA,"Aquisição de Usina Fotovotaica (energia solar) tendo como beneficiário o Instituto Beneficente do Sertão Pernambucano, mantenedor do Instituto de Terapia Renal (ITR) Alice Torres Pereira de Carvalho, inscrito no CNPJ 23.598.589/0003-39.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"121.100,00","121.100,00",-,-,-,-,-,"121.100,00",,2613909,15
2024,Luciano Duque,1272,FES-PE,4611,ELGF,ELGF,EMENDA,CUSTEIO,50 - TRANSF. A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS,MORENO,"Custeio de procedimento de alto e média complexidade pelo Hospital Armindo Moura, através de repasse de recursos para a União Beneficentes dos Trabalhadores de Moreno - UBTM, inscrita no CNPJ nº 11.683.042/0001-90.",SAÚDE,AQUISIÇÃO DE INSUMOS/MEDICAMENTOS,-,-,-,-,-,"100.000,00","100.000,00",-,-,-,-,-,-,,2609402,15
2024,Luciano Duque,1275,FES-PE,4553,ELGI,ELGI,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,"Compra de material permanente para o Hospital Getúlio Vargas, inscrito no CNPJ: 10.572.048/0005-51.",SAÚDE,APOIO UNID.DE SAÚDE - CUSTEIO/REFORMA,-,-,-,-,-,"100.000,00","86.200,00",-,-,-,-,-,-,,2611606,15
2024,Luciano Duque,1276,SEPLAG,4424,ELGJ,ELGJ,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,PEDRA,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"250.000,00","250.000,00",-,-,-,-,-,-,,2610806,15
2024,Luciano Duque,1277,SEPLAG,4424,ELGK,ELGK,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,SAO JOSE DO BELMONTE,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"348.000,00","348.000,00",-,-,-,-,-,-,,2613503,15
2024,Luciano Duque,1278,SEPLAG,4424,ELGL,ELGL,TRANSF. ESPECIAIS,CUSTEIO,40 - TRANSF. A MUNICÍPIOS,SAO JOSE DO BELMONTE,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"132.000,00","132.000,00",-,-,-,-,-,-,,2613503,15
2024,Luciano Duque,1281,SEPLAG,4424,ELGO,ELGO,TRANSF. ESPECIAIS,INVESTIMENTOS,40 - TRANSF. A MUNICÍPIOS,SAO JOSE DO BELMONTE,Transferência Especial.,ENCARGOS ESPECIAIS,TRANSFERÊNCIAS ESPECIAIS,-,-,-,-,-,"80.000,00","80.000,00",-,-,-,-,-,-,,2613503,15
2024,Luciano Duque,1283,MP,1132,ELGQ,ELGQ,EMENDA,INVESTIMENTOS,90 - APLICAÇÕES DIRETAS,RECIFE,Investimentos na implantação do complexo da nova sede única do Ministério Público de Pernambuco (MPPE).,DIREITOS DA CIDADANIA,OBRAS OUTROS PODERES,-,-,-,-,-,"60.000,00","60.000,00",-,-,-,-,-,-,,2611606,15
